200_soft_majo.py,300_per_ccd.py,400_per_ddc.py,
200,300,400,
216,319,365,
229,340,331,
239,363,298,
245,387,268,
247,411,242,
245,435,220,
240,458,202,
232,480,188,
222,500,178,
210,518,172,
198,533,169,
185,546,169,
172,556,172,
159,563,178,
147,566,187,
136,566,198,
125,563,212,
115,556,229,
107,545,248,
101,531,268,
96,515,289,
92,498,310,
88,480,332,
86,461,353,
85,442,373,
84,424,392,
84,407,409,
85,391,424,
87,376,437,
90,363,447,
93,352,455,
97,343,460,
103,335,462,
109,330,461,
116,327,457,
123,326,451,
132,326,442,
141,329,430,
150,334,416,
159,341,400,
168,349,383,
176,359,365,
184,370,346,
190,383,327,
195,396,309,
198,410,292,
199,424,277,
198,438,264,
195,452,253,
191,465,244,
186,476,238,
180,486,234,
173,495,232,
166,502,232,
159,507,234,
152,510,238,
145,511,244,
138,510,252,
132,506,262,
126,501,273,
121,494,285,
116,486,298,
112,476,312,
109,465,326,
106,453,341,
104,441,355,
103,429,368,
103,417,380,
103,406,391,
104,396,400,
106,387,407,
108,379,413,
111,372,417,
114,366,420,
118,361,421,
122,358,420,
127,356,417,
132,356,412,
138,357,405,
144,359,397,
150,363,387,
156,368,376,
161,374,365,
166,381,353,
170,389,341,
173,398,329,
175,407,318,
176,416,308,
176,425,299,
175,434,291,
173,442,285,
171,449,280,
168,456,276,
164,462,274,
160,467,273,
156,470,274,
152,472,276,
148,473,279,
144,473,283,
140,472,288,
136,470,294,
132,467,301,
129,463,308,
126,458,316,
123,452,325,
121,445,334,
119,438,343,
118,431,351,
117,424,359,
117,417,366,
117,410,373,
118,404,378,
119,398,383,
121,393,386,
123,389,388,
125,385,390,
128,382,390,
131,380,389,
134,379,387,
138,379,383,
142,380,378,
146,382,372,
150,385,365,
153,389,358,
156,393,351,
159,398,343,
161,404,335,
163,410,327,
164,416,320,
164,422,314,
164,428,308,
163,434,303,
162,439,299,
160,444,296,
158,448,294,
155,451,294,
152,454,294,
149,456,295,
146,457,297,
143,457,300,
140,456,304,
137,454,309,
134,451,315,
132,448,320,
130,444,326,
128,440,332,
127,435,338,
126,430,344,
125,425,350,
125,420,355,
125,415,360,
125,411,364,
126,407,367,
127,403,370,
128,400,372,
130,397,373,
132,395,373,
134,394,372,
136,393,371,
138,393,369,
140,393,367,
142,394,364,
144,395,361,
146,397,357,
148,399,353,
150,402,348,
152,405,343,
153,408,339,
154,412,334,
155,416,329,
155,420,325,
155,424,321,
155,427,318,
154,430,316,
153,433,314,
152,436,312,
151,438,311,
149,440,311,
147,441,312,
145,442,313,
143,442,315,
141,442,317,
139,441,320,
137,439,324,
136,437,327,
135,435,330,
134,433,333,
133,430,337,
132,427,341,
132,424,344,
132,421,347,
132,418,350,
132,415,353,
132,413,355,
133,411,356,
134,409,357,
135,407,358,
136,406,358,
137,405,358,
138,404,358,
139,404,357,
140,404,356,
141,404,355,
142,405,353,
143,406,351,
144,407,349,
145,408,347,
146,410,344,
146,413,341,
146,416,338,
146,418,336,
146,420,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
138,431,331,
136,431,333,
135,430,335,
134,429,337,
132,428,340,
131,426,343,
130,424,346,
129,422,349,
129,419,352,
128,417,355,
128,414,358,
128,412,360,
128,410,362,
128,408,364,
128,406,366,
129,404,367,
130,402,368,
131,401,368,
132,400,368,
134,399,367,
135,399,366,
137,399,364,
138,400,362,
139,401,360,
140,402,358,
142,403,355,
143,405,352,
144,407,349,
145,409,346,
146,411,343,
146,414,340,
147,416,337,
147,419,334,
146,422,332,
146,424,330,
145,426,329,
144,428,328,
143,429,328,
142,430,328,
140,431,329,
139,431,330,
