,all_c.py,all_d.py,easy_go.py,hard_majo.py,hard_not_more.py,hard_tf2t.py,hard_tft.py,mistrust.py,pavlov.py,per_ccd.py,per_ccdd.py,per_cd.py,per_cdd.py,per_dc.py,per_ddc.py,prober.py,slow_tft.py,soft_majo.py,soft_not_more.py,spiteful.py,tf2t.py,three_tit_for_tat.py,tit_for_tat.py,two_tit_for_tat.py,
,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
all_c.py,3000,0,2997,3,0,0,3000,2997,3000,2001,1500,1500,1002,1500,999,6,3000,3000,3000,3000,3000,3000,3000,3000,
all_d.py,5000,1000,1000,5000,1000,5000,1004,1000,3000,3668,3000,3000,2336,3000,2332,1008,1008,1004,1004,1004,1008,1004,1004,1004,
easy_go.py,3002,1000,1000,11,1000,5000,2996,1000,5,2003,1502,1502,1004,1503,1003,3000,2999,2999,5,5,3002,2993,2999,2996,
hard_majo.py,4998,0,4991,2000,0,4990,2000,2169,3002,3666,2500,2000,1003,1500,999,7,2000,2186,10,10,2375,1900,2168,2000,
hard_not_more.py,5000,1000,1000,5000,1000,5000,1004,1000,3000,3668,3000,3000,2336,3000,2332,1008,1008,1004,1004,1004,1008,1004,1004,1004,
hard_tf2t.py,5000,0,0,10,0,3000,0,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2994,0,
hard_tft.py,3000,999,3001,2625,999,5000,3000,1003,3000,3331,2746,2997,2333,2999,2331,1010,3000,3000,3000,3000,3000,3000,3000,3000,
mistrust.py,3002,1000,1000,2169,1000,3004,1003,1000,2003,2669,2250,2500,2003,2501,1999,3000,1008,2500,1003,1003,3002,1003,2500,1003,
pavlov.py,3000,500,4995,502,500,5000,3000,1998,3000,2833,1750,2250,1335,2250,1332,2003,3000,3000,3000,3000,3000,3000,3000,3000,
per_ccd.py,3666,333,3663,336,333,5000,1671,2664,2003,2334,1999,2000,1335,1999,1665,340,1671,3666,343,343,3666,343,2667,1671,
per_ccdd.py,4000,500,3997,1250,500,5000,1506,2250,3000,2834,2000,2250,1669,2250,1666,507,1506,4000,510,510,3253,510,2253,1506,
per_cd.py,4000,500,3997,2000,500,5000,507,2500,2250,2835,2250,2000,1669,2500,1665,2503,507,4000,507,507,4000,507,2503,507,
per_cdd.py,4332,666,4329,4328,666,5000,673,1998,3000,3000,2499,2499,1668,2499,1998,2002,673,681,673,673,3333,673,2001,673,
per_dc.py,4000,500,3993,4000,500,5000,504,2496,2250,2834,2250,2500,1669,2000,1666,2499,507,2500,504,504,4000,504,2500,504,
per_ddc.py,4334,667,4323,4334,667,5000,671,1999,3002,3335,2501,2500,2003,2501,1666,2006,675,671,671,671,3335,671,2003,671,
prober.py,4996,998,2995,4992,998,5000,1005,2995,1998,3665,2997,2498,2002,2499,1996,2998,1009,2999,1002,1002,1016,1002,2999,1005,
slow_tft.py,3000,998,2999,2625,998,5000,3000,1008,3000,3331,2746,2997,2333,2997,2330,1004,3000,3000,3000,3000,3000,3000,3000,3000,
soft_majo.py,3000,999,2999,2296,999,5000,3000,2500,3000,2001,1500,1500,2331,2500,2331,2999,3000,3000,3000,3000,3000,3000,3000,3000,
soft_not_more.py,3000,999,4995,4985,999,5000,3000,1003,3000,3663,2995,2997,2333,2999,2331,1007,3000,3000,3000,3000,3000,3000,3000,3000,
spiteful.py,3000,999,4995,4985,999,5000,3000,1003,3000,3663,2995,2997,2333,2999,2331,1007,3000,3000,3000,3000,3000,3000,3000,3000,
tf2t.py,3000,998,2997,1750,998,5000,3000,2997,3000,2001,1998,1500,1668,1500,1665,1001,3000,3000,3000,3000,3000,3000,3000,3000,
three_tit_for_tat.py,3000,999,3003,2900,999,5000,3000,1003,3000,3663,2995,2997,2333,2999,2331,1007,3000,3000,3000,3000,3000,3000,3000,3000,
tit_for_tat.py,3000,999,2999,2163,999,3004,3000,2500,3000,2667,2248,2498,2001,2500,1998,2999,3000,3000,3000,3000,3000,3000,3000,3000,
two_tit_for_tat.py,3000,999,3001,2625,999,5000,3000,1003,3000,3331,2746,2997,2333,2999,2331,1010,3000,3000,3000,3000,3000,3000,3000,3000,
